algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_soft,10.0,6.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-3.943023681640625,-0.003736503639414579,-0.0317460298538208,-0.0833333358168602
du_pf_cognitive,10.0,6.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-16.183822631835938,-0.004102952356170753,0.0,0.08333331346511841
pf_fs_soft,10.0,7.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-18.901870727539062,-0.004383091393571403,0.007936537265777588,0.0
pf_fs_cognitive,10.0,7.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-0.74346923828125,0.0016820969010424847,-0.02380955219268799,-0.08333337306976318
du_pf_soft,10.0,7.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.95440673828125,-0.0038683155526013646,-0.023809492588043213,0.08333331346511841
du_pf_cognitive,10.0,7.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-15.9810791015625,-0.0017028484616442574,-0.007936477661132812,0.0
pf_fs_soft,10.0,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,4.4430999755859375,-0.002509540466783866,0.0158730149269104,0.6666666865348816
pf_fs_cognitive,10.0,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,23.40435791015625,-0.005845954995659763,-0.0158730149269104,0.0
du_pf_soft,10.0,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.8314971923828125,-0.005825293895407646,-0.0158730149269104,0.4166666865348816
du_pf_cognitive,10.0,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-5.18194580078125,-0.005140258440871404,0.0,0.0
pf_fs_soft,10.0,9.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-1.3638916015625,-0.002803871942319569,0.007936477661132812,-0.1666666865348816
pf_fs_cognitive,10.0,9.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.513702392578125,-0.0009673437092884152,-0.03968250751495361,-0.08333331346511841
du_pf_soft,10.0,9.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,10.3743896484375,-0.0018152421267317864,0.0,0.1666666567325592
du_pf_cognitive,10.0,9.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.99102783203125,-0.000917215232905999,0.0,0.0
pf_fs_soft,10.0,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,23.74700927734375,-0.0079832206975462,-0.03968256711959839,0.08333331346511841
pf_fs_cognitive,10.0,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.472320556640625,-0.0003190641187119647,-0.0634920597076416,-0.1666666865348816
du_pf_soft,10.0,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,11.829742431640625,-0.0029690063301663905,-0.0317460298538208,0.0
du_pf_cognitive,10.0,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,4.16302490234375,-0.00283610965958192,-0.03968256711959839,0.0
pf_fs_soft,10.0,11.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,108.40818786621094,-0.005319116804911261,-0.0158730149269104,0.5000000298023224
pf_fs_cognitive,10.0,11.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,33.216796875,-0.003508172331112336,-0.0317460298538208,0.08333331346511841
du_pf_soft,10.0,11.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,11.939987182617188,-0.002947237147577386,-0.007936537265777588,0.0
